"Feature ID","Feature","Module","UI Exists","Backend Model Exists","Backend API/Service Exists","Frontend Calls Backend","Persists to DB","Uses Mock/Static Data","RBAC/Role Scoped","Counts Consistent","Error/Loading States","Status","Priority","Evidence","Notes"
"FEAT-168","Loading States","Theme/UI","Yes","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","A","P2","TICKETS; LEAVE; USERS; PROJECTS; DASH","Major modules include loaders/skeletons."
"FEAT-169","Error States","Theme/UI","Yes","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","A","P2","frontend/lib/api.ts; pages","API normalization and page toasts/retry exist."
"FEAT-170","Empty States","Theme/UI","Yes","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","A","P2","TICKETS; LEAVE; USERS","Major lists include empty states."
"FEAT-171","Ticket AI Suggestions","AI","Yes","No","Partial","Yes","No","Yes","Yes","No","Yes","B","P3","AI","Priority suggestion exists with coming-soon fallback."
"FEAT-172","AI Ticket Summary","AI","No","No","Yes","No","No","Yes","Yes","No","Unknown","D","P3","AI","Backend endpoint exists; frontend consumer missing."
"FEAT-173","Suggested Next Action","AI","Yes","No","Partial","Yes","No","Yes","Yes","No","Yes","B","P3","AI","Ticket detail panel can receive fallback output."
"FEAT-174","Suggested Assignee/Priority/Category","AI","Partial","No","Partial","Partial","No","Yes","Yes","No","Yes","B","P3","AI","Priority/assignee partial; category incomplete."
"FEAT-175","Guidance Engine","AI","Partial","No","Partial","Partial","No","Yes","Partial","Partial","Yes","B","P3","DASH; AI","Rule-based alerts, not full AI engine."
"FEAT-176","Event Log Model","Audit","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","DB; EVENTS","ActivityLog and OperationalEvent exist."
"FEAT-177","Ticket Events","Audit","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","TICKETS; EVENTS","Ticket events logged."
"FEAT-178","Leave Events","Audit","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","LEAVE; EVENTS","Leave events logged."
"FEAT-179","Workday Events","Audit","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","WORKDAY; DB","Attendance events logged."
"FEAT-180","User/Admin Events","Audit","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","USERS; EVENTS","User/admin events logged."
"FEAT-181","Settings Events","Audit","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P1","SETTINGS; EVENTS","Settings writes logged."
"FEAT-182","Risk Acknowledgement Events","Audit","No","No","No","No","No","No","No","No","No","F","P2","EVENTS; TICKETS","No risk ACK event."
"FEAT-183","File Upload Infrastructure","Files","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","A","P1","FILES","Cloudinary/base64 ticket uploads and DB document uploads exist."
"FEAT-184","Document Access Control","Files/HRMS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A","P0","HRMS; FILES","HR documents returned only through scoped endpoints."
"FEAT-185","CSV/Excel Export","Exports","Partial","Yes","Partial","Partial","Yes","No","Yes","Partial","Partial","B","P2","TICKETS","Ticket CSV only; Excel/project/leave exports absent."
"FEAT-186","SMTP Email Sending","Integrations","Partial","Partial","Partial","Partial","Partial","No","Yes","Unknown","Partial","B","P1","email.service.ts; SETTINGS","Nodemailer env config exists; saved SMTP settings not transporter source."
"FEAT-187","Calendar Integration","Integrations","No","No","No","No","No","No","No","No","No","F","P3","STATIC","No Google/Outlook/ICS integration."
"FEAT-188","AI Provider Integration","Integrations","Yes","No","Yes","Yes","No","Partial","Yes","Unknown","Yes","A","P3","AI","OpenAI provider config exists with graceful disabled mode."
