"Feature ID","Feature","Module","UI Exists","Backend Model Exists","Backend API/Service Exists","Frontend Calls Backend","Persists to DB","Uses Mock/Static Data","RBAC/Role Scoped","Counts Consistent","Error/Loading States","Status","Priority","Evidence","Notes"
"FEAT-114","Delivery Risk Snapshot","Delivery Risk","Partial","Yes","Partial","Partial","Yes","Partial","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","HOME1, DASHFE1","Dashboard risk cards exist, but are not a complete delivery-risk subsystem."
"FEAT-115","Delivery SLA Risks Analyzer","Delivery Risk","Yes","No","No","No","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P2","QUICK1","Risk analyzer quick action is static navigation, not a real analyzer API/page."
"FEAT-116","Blocked Tickets Risk","Delivery Risk","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P2","SCHEMA_TICKET, TICKETS3","No blocked status/risk query was found."
"FEAT-117","SLA Breach Risk","Delivery Risk","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","TICKETS3, HOME1","Overdue/SLA risk counts exist, but depend on inconsistent SLA logic."
"FEAT-118","Unassigned Tickets Risk","Delivery Risk","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","TICKETS3, HOME1","Unassigned risk counts exist in stats/home data, but not as a complete risk workflow."
"FEAT-119","Review Ageing Risk","Delivery Risk","Partial","Yes","Partial","Partial","Yes","Partial","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P1","HOME1, TICKETS2","Review ageing is partially inferred but no complete ageing query/workflow exists."
"FEAT-120","Risk Acknowledgement","Delivery Risk","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P2","EVENTS1, QUICK1","No risk ACK mutation or audit event was found."
"FEAT-121","Risk Severity","Delivery Risk","Partial","Partial","Partial","Partial","Partial","Partial","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P2","HOME1, DASHFE1","Severity labels exist in generated alerts/UI, but not as a normalized backend model."
"FEAT-122","Dashboard Notifications","Notifications","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_NOTIF, NOTIFS1, FENOTIFS1","Notification list/panel loads real backend notifications."
"FEAT-123","Notification Bell","Notifications","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","NOTIFS1, FENOTIFS1","Unread count uses backend unread-count and refetches after mutations."
"FEAT-124","System Alerts Dropdown","Notifications","Yes","No","No","No","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P3","DASHFE1, QUICK1","Mockup-style system alerts are UI/static and separate from real notifications."
"FEAT-125","Mark All Read","Notifications","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","NOTIFS1, FENOTIFS1","Mark all read calls the backend and invalidates notification queries."
"FEAT-126","Dismiss Alert","Notifications","No","Yes","Yes","No","Yes","No","Yes","Unknown","Unknown","D_BACKEND_ONLY","P2","NOTIFS1, API1","Backend delete exists with ownership checks, but no complete dismiss/delete UI was found."
"FEAT-127","Notification Preferences","Notifications","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P1","USERS2, FESETTINGS1, NOTIFS1","Preferences persist in AppSetting, but notification triggers do not enforce them."
"FEAT-128","Quiet Hours","Notifications","Yes","Partial","Partial","Yes","Partial","Yes","No","No","Yes","C_FRONTEND_ONLY","P2","FESETTINGS1, NOTIFS1","Quiet-hours UI/storage exists, but backend delivery enforcement was not found."
"FEAT-129","Notification Event Triggers","Notifications","Partial","Yes","Partial","Partial","Yes","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P1","TICKETS2, LEAVE2, NOTIFS1","Ticket/leave triggers exist, but preference enforcement and duplicate channels remain incomplete."
"FEAT-130","Command Center Shell","Command Center","Yes","Partial","Partial","Partial","Partial","No","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P1","LAYOUT1, DASHFE1","Shell exists, but protected-route/auth hydration and role visibility are not fully stable."
"FEAT-131","Global Command Search","Command Center","Yes","Yes","Partial","Partial","Yes","Partial","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P2","COMMAND1, API1","Command search queries real tickets/projects/people, but not every requested domain."
"FEAT-132","Command Palette / Quick Actions","Command Center","Yes","Partial","Partial","Partial","Partial","Yes","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P2","COMMAND1, QUICK1","Command palette is partly real search and partly static action definitions."
"FEAT-133","Quick Action: Create New Ticket","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P2","QUICK1, FENEWTICKET1","Quick action routes to the real new-ticket workflow."
"FEAT-134","Quick Action: Review Delivery Risks","Command Center","Yes","No","No","No","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P2","QUICK1","Action routes to a ticket priority filter, not a delivery-risk analyzer."
"FEAT-135","Quick Action: Check Due Today","Command Center","Yes","Yes","Partial","Partial","Partial","Partial","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P2","QUICK1, FETICKETS1","Due-today route parameter is not consistently consumed by the tickets page."
"FEAT-136","Quick Action: Review High Priority","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P2","QUICK1, FETICKETS1","High-priority action maps to ticket priority filtering."
"FEAT-137","Quick Action: Open Projects","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P2","QUICK1, FEPROJECTS1","Projects action routes to the real projects page."
"FEAT-138","Quick Action: Check Team Availability","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P2","QUICK1, TEAMFE1","Team availability action opens connected team/workday data."
"FEAT-139","Quick Action: Review Leave Requests","Command Center","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P2","QUICK1, FELEAVE1","Leave request action opens the real leave workflow."
"FEAT-140","Operations Broadcast Banner","Broadcasts/Calendar","Yes","No","No","No","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P3","BROADCAST1","Broadcast banner is a static component with optional local props only."
"FEAT-141","Broadcast Details Modal","Broadcasts/Calendar","Yes","No","No","No","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P3","BROADCAST1","Broadcast details are frontend-only/static."
"FEAT-142","Acknowledge Broadcast","Broadcasts/Calendar","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","BROADCAST1, EVENTS1","No acknowledgement mutation or audit event exists."
"FEAT-143","Add to Calendar","Broadcasts/Calendar","Yes","No","No","No","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P3","BROADCAST1","Broadcast add-to-calendar only toggles local UI state."
"FEAT-144","Create Pre-review Ticket from Broadcast","Broadcasts/Calendar","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","BROADCAST1, FENEWTICKET1","No broadcast-to-ticket integration exists."
"FEAT-145","Broadcast History","Broadcasts/Calendar","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","BROADCAST1","No broadcast history model/API/page was found."
"FEAT-146","Critical Timeline Milestones","Broadcasts/Calendar","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P2","CALENDAR1, HOME1","Timeline/calendar uses tickets and approved leave, not a durable milestone model."
"FEAT-147","Milestone Types","Broadcasts/Calendar","Partial","Partial","Partial","Partial","Partial","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P2","CALENDAR1","Calendar event types cover tickets/leave, not release/meeting/deadline/approval taxonomy."
"FEAT-148","Milestone Links","Broadcasts/Calendar","Partial","Partial","Partial","Partial","Partial","No","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P2","CALENDAR1","Calendar links exist for tickets/leave only, not broad ticket/project/department milestones."
"FEAT-149","Settings Shell","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Yes","A_FULLY_CONNECTED","P1","FESETTINGS1, SETTINGS1","Settings navigation and admin visibility are connected to real APIs."
"FEAT-150","Settings Profile","Settings","Yes","Yes","Partial","Partial","Yes","No","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P1","FESETTINGS1, USERS1","Profile save is connected, but not every displayed profile/account field is editable/persisted."
"FEAT-151","Appearance Settings","Settings","Yes","Partial","Partial","Partial","Partial","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P2","FESETTINGS1, THEME1","Theme controls mostly persist locally, with only company defaults on backend."
"FEAT-152","Company Default Theme","Settings","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P2","SETTINGS1, FESETTINGS1","Company theme saves through settings, but JSON parsing/storage path is brittle."
"FEAT-153","Preferences Settings","Settings","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P2","FESETTINGS1, USERS2","Preferences persist, but auto-assign/default-priority behavior is not enforced in workflows."
"FEAT-154","Security Settings","Settings","Partial","Yes","Partial","Partial","Partial","No","Yes","Unknown","Yes","B_PARTIAL_OR_BROKEN","P1","AUTH1, FESETTINGS1","Password change exists, but session/device management is incomplete."
"FEAT-155","Company Info Settings","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Yes","A_FULLY_CONNECTED","P1","SETTINGS1, FESETTINGS1","Company name/tagline/contact email save and reload through settings API."
"FEAT-156","SLA Settings Persistence","Settings","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P0","SETTINGS1, TICKETS2, FESETTINGS1","SLA values persist but are not fully used by ticket SLA execution logic."
"FEAT-157","Task Types Settings","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_TASKTYPES, TASKTYPES1, FESETTINGS1","Task type and subtype settings are backed by database CRUD."
"FEAT-158","Custom Subtype Save","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_TICKET, FENEWTICKET1, TICKETS2","Custom subtype text persists on tickets and is used in ticket creation."
"FEAT-159","Email & SMTP Settings","Settings","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Yes","A_FULLY_CONNECTED","P1","SETTINGS1, FESETTINGS1, EMAIL1","SMTP settings save through protected settings APIs."
"FEAT-160","Send Test Email","Settings","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P2","SETTINGS1, EMAIL1, FESETTINGS1","No send-test-email endpoint or connected UI was found."
"FEAT-161","Dark Theme","Theme/UI","Yes","Partial","Partial","Partial","Partial","Partial","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P2","THEME1, FESETTINGS1","Dark theme tokens exist, but app-wide coverage was not proven and local/server paths differ."
"FEAT-162","Light Theme","Theme/UI","Yes","Partial","Partial","Partial","Partial","No","Partial","Unknown","Yes","A_FULLY_CONNECTED","P2","THEME1","Light theme is the baseline style and appears broadly applied."
"FEAT-163","Theme Presets","Theme/UI","Yes","Partial","Partial","Partial","Partial","Partial","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P2","THEME1, FESETTINGS1","Named presets exist, but persistence and app-wide consistency are partial."
"FEAT-164","Accent Color","Theme/UI","Yes","Partial","Partial","Partial","Partial","Partial","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P2","THEME1, FESETTINGS1","Accent color uses local/user/company paths inconsistently."
"FEAT-165","Font Size","Theme/UI","Yes","No","No","Yes","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P3","FESETTINGS1","Font size persists locally only."
"FEAT-166","Compact Mode","Theme/UI","Yes","No","No","Yes","No","Yes","No","No","Yes","C_FRONTEND_ONLY","P3","FESETTINGS1","Compact mode persists locally only."
"FEAT-167","Consistent Design Tokens","Theme/UI","Yes","Partial","Partial","Partial","Partial","Partial","Partial","Unknown","Partial","B_PARTIAL_OR_BROKEN","P2","THEME1","Global tokens exist, but hardcoded styles remain across UI."
"FEAT-168","Loading States","Theme/UI","Yes","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","A_FULLY_CONNECTED","P2","FEUSERS1, FETICKETS1, FELEAVE1, FESETTINGS1","Major pages use loading states through query/loading branches."
"FEAT-169","Error States","Theme/UI","Partial","Unknown","Unknown","Unknown","Unknown","Partial","Unknown","Unknown","Partial","B_PARTIAL_OR_BROKEN","P2","API1, FESETTINGS1, FETICKETDETAIL1","Error handling exists, but some UI paths surface generic/raw backend messages."
"FEAT-170","Empty States","Theme/UI","Yes","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Yes","A_FULLY_CONNECTED","P2","FEUSERS1, FETICKETS1, FEPROJECTS1, FELEAVE1","Major list pages include empty states."
"FEAT-171","Ticket AI Suggestions","AI","Yes","No","Partial","Yes","No","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P2","AI1, FETICKETDETAIL1","AI ticket suggestions are connected but depend on optional provider config and fallback behavior."
"FEAT-172","AI Ticket Summary","AI","No","No","Yes","No","No","Partial","Partial","Unknown","Unknown","D_BACKEND_ONLY","P2","AI1, API1","Summarize endpoint exists, but no complete frontend workflow was found."
"FEAT-173","Suggested Next Action","AI","Yes","No","Partial","Yes","No","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P2","AI1, FETICKETDETAIL1","Next-action suggestions display when AI suggestions are available."
"FEAT-174","Suggested Assignee/Priority/Category","AI","Partial","No","Partial","Partial","No","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P2","AI1, FENEWTICKET1, FETICKETDETAIL1","Priority suggestion is wired, but assignee/category suggestion coverage is incomplete."
"FEAT-175","Guidance Engine","AI","Partial","No","Partial","Partial","No","Partial","Partial","Partial","Partial","B_PARTIAL_OR_BROKEN","P2","HOME1, AI1","Dashboard guidance exists as rule-based alerts, not a full AI guidance engine."
"FEAT-176","Event Log Model","Audit/Event Logs","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","A_FULLY_CONNECTED","P1","SCHEMA_EVENT, EVENTS1","OperationalEvent model, logger service, and events controller exist."
"FEAT-177","Ticket Events","Audit/Event Logs","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","TICKETS2, EVENTS1","Ticket create/status/assignment events exist, but comment/attachment/close coverage is incomplete."
"FEAT-178","Leave Events","Audit/Event Logs","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","LEAVE2, EVENTS1","Leave events exist, but cancel is logged through rejection-style action semantics."
"FEAT-179","Workday Events","Audit/Event Logs","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","SCHEMA_WORKDAY, WORKDAY1, EVENTS1","Workday has AttendanceEvent storage, but it is separate from OperationalEvent reporting."
"FEAT-180","User/Admin Events","Audit/Event Logs","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","USERS2, EVENTS1","Some user/admin activity is logged, but create/edit/deactivate/role-change coverage is not complete."
"FEAT-181","Settings Events","Audit/Event Logs","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P2","SETTINGS1, EVENTS1","No settings-change audit events were found."
"FEAT-182","Risk Acknowledgement Events","Audit/Event Logs","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P2","EVENTS1","No risk acknowledgement event type/workflow was found."
"FEAT-183","File Upload Infrastructure","Files/Integrations","Yes","Yes","Partial","Yes","Yes","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P1","UPLOADS1, SCHEMA_DOCS, FETICKETDETAIL1","Cloudinary and base64 fallback uploads exist, but storage policy is mixed."
"FEAT-184","Document Access Control","Files/Integrations","Yes","Yes","Partial","Yes","Yes","No","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P0","USERS2, FEUSERPROFILE1","Document API has sensitive RBAC paths and manager-scope access needs tightening."
"FEAT-185","CSV/Excel Export","Files/Integrations","Partial","Yes","Partial","Partial","Yes","No","Partial","Partial","Yes","B_PARTIAL_OR_BROKEN","P1","TICKETS1, FETICKETS1, REPORTS1","Ticket CSV works; project, leave, SLA and report exports are not complete."
"FEAT-186","SMTP Email Sending","Files/Integrations","Partial","Yes","Partial","Partial","Partial","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P1","EMAIL1, AUTH2, SETTINGS1","Nodemailer sending exists when configured, but OTP/test-email flows are incomplete."
"FEAT-187","Calendar Integration","Files/Integrations","No","No","No","No","No","No","No","No","No","F_NOT_PRESENT","P3","CALENDAR1, BROADCAST1","Internal calendar page exists, but no Google/Outlook/ICS integration was found."
"FEAT-188","AI Provider Integration","Files/Integrations","Partial","No","Partial","Partial","No","Partial","Partial","Unknown","Yes","B_PARTIAL_OR_BROKEN","P2","AI1","OpenAI integration exists; Anthropic/config signals are inconsistent and fallback mode is common."
