OriginalPath,NewPath,Action,Category,Reason,SensitiveReview,Notes
"FP19B_HISTORICAL_WORKDAY_CLEANUP_AUDIT.md","docs/programs/fp19/FP19B_HISTORICAL_WORKDAY_CLEANUP_AUDIT.md",MOVE,programs-fp19,"prefix","Not applicable - narrative document",""
"FP19B_HISTORICAL_WORKDAY_CLEANUP_ISSUE_REGISTER.md","docs/programs/fp19/FP19B_HISTORICAL_WORKDAY_CLEANUP_ISSUE_REGISTER.md",MOVE,programs-fp19,"prefix","Not applicable - narrative document",""
"FP19B_HISTORICAL_WORKDAY_CLEANUP_REPORT.md","docs/programs/fp19/FP19B_HISTORICAL_WORKDAY_CLEANUP_REPORT.md",MOVE,programs-fp19,"prefix","Not applicable - narrative document",""
"FP19B_HISTORICAL_WORKDAY_PRE_APPLY_SNAPSHOT.md","docs/archive/generated-artifacts/FP19B_HISTORICAL_WORKDAY_PRE_APPLY_SNAPSHOT.md",MOVE,generated-artifact,"no sensitive content detected","Reviewed - clean",""
"FP19B_HISTORICAL_WORKDAY_REPAIR_APPLY_REPORT.md","docs/archive/generated-artifacts/FP19B_HISTORICAL_WORKDAY_REPAIR_APPLY_REPORT.md",MOVE,generated-artifact,"no sensitive content detected","Reviewed - clean",""
"FP19B_HISTORICAL_WORKDAY_REPAIR_DRY_RUN_REPORT.md","docs/archive/generated-artifacts/restricted/FP19B_HISTORICAL_WORKDAY_REPAIR_DRY_RUN_REPORT.md",MOVE,generated-artifact-restricted,"sensitive content detected","SENSITIVE - production identifiers detected",""
"FP19E_EXISTING_FEATURE_SMOKE_TEST_REPORT.md","docs/programs/fp19/FP19E_EXISTING_FEATURE_SMOKE_TEST_REPORT.md",MOVE,programs-fp19,"prefix","Not applicable - narrative document",""
"FP19E_RUNTIME_ISSUE_REGISTER.md","docs/programs/fp19/FP19E_RUNTIME_ISSUE_REGISTER.md",MOVE,programs-fp19,"prefix","Not applicable - narrative document",""
"FP19X_8_UNDER_REVIEW_ATTACHMENTS_AUDIT.md","docs/programs/fp19/FP19X_8_UNDER_REVIEW_ATTACHMENTS_AUDIT.md",MOVE,programs-fp19,"prefix","Not applicable - narrative document",""
"FP19X_8_UNDER_REVIEW_ATTACHMENTS_FIX_REPORT.md","docs/programs/fp19/FP19X_8_UNDER_REVIEW_ATTACHMENTS_FIX_REPORT.md",MOVE,programs-fp19,"prefix","Not applicable - narrative document",""
"FP19X_8_UNDER_REVIEW_ATTACHMENTS_VERIFICATION.md","docs/programs/fp19/FP19X_8_UNDER_REVIEW_ATTACHMENTS_VERIFICATION.md",MOVE,programs-fp19,"prefix","Not applicable - narrative document",""
"FP20B_ATTENDANCE_FINAL_FIX.md","docs/programs/fp20/FP20B_ATTENDANCE_FINAL_FIX.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20B_ATTENDANCE_VERIFICATION.md","docs/programs/fp20/FP20B_ATTENDANCE_VERIFICATION.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20B_FINAL_HANDOVER.md","docs/programs/fp20/FP20B_FINAL_HANDOVER.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20B_LEAVE_DURATION_FIX.md","docs/programs/fp20/FP20B_LEAVE_DURATION_FIX.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20B_PRODUCTIVE_TIME_FIX.md","docs/programs/fp20/FP20B_PRODUCTIVE_TIME_FIX.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20B_ROLLOUT_READINESS.md","docs/programs/fp20/FP20B_ROLLOUT_READINESS.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20B_SLA_AUTHORITY_FIX.md","docs/programs/fp20/FP20B_SLA_AUTHORITY_FIX.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20B_TVA_REAUDIT.md","docs/programs/fp20/FP20B_TVA_REAUDIT.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20B_WORKDAY_FIX.md","docs/programs/fp20/FP20B_WORKDAY_FIX.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_COLLISION_CHECK.md","docs/programs/fp20/FP20C_COLLISION_CHECK.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_DRY_RUN_OUTPUT.md","docs/archive/generated-artifacts/restricted/FP20C_DRY_RUN_OUTPUT.md",MOVE,generated-artifact-restricted,"sensitive content detected","SENSITIVE - production identifiers detected",""
"FP20C_DRY_RUN_REPAIR_PLAN.md","docs/programs/fp20/FP20C_DRY_RUN_REPAIR_PLAN.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_EXCLUDE_REPORTING_EXPORT.json","docs/archive/generated-artifacts/restricted/FP20C_EXCLUDE_REPORTING_EXPORT.json",MOVE,generated-artifact-restricted,"sensitive content detected","SENSITIVE - production identifiers detected",""
"FP20C_MANUAL_REVIEW_EXPORT.csv","docs/archive/generated-artifacts/restricted/FP20C_MANUAL_REVIEW_EXPORT.csv",MOVE,generated-artifact-restricted,"sensitive content detected","SENSITIVE - production identifiers detected",""
"FP20C_POST_REPAIR_SCAN.md","docs/programs/fp20/FP20C_POST_REPAIR_SCAN.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_REMAINING_MANUAL_REVIEW.md","docs/programs/fp20/FP20C_REMAINING_MANUAL_REVIEW.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_REPAIR_EXECUTION_REPORT.md","docs/programs/fp20/FP20C_REPAIR_EXECUTION_REPORT.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_REPAIR_POLICY_DECISION.md","docs/programs/fp20/FP20C_REPAIR_POLICY_DECISION.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_REPAIR_SCRIPT.md","docs/programs/fp20/FP20C_REPAIR_SCRIPT.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_ROLLBACK_AUDIT.md","docs/programs/fp20/FP20C_ROLLBACK_AUDIT.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20C_ROLLBACK_DATA.json","docs/archive/generated-artifacts/restricted/FP20C_ROLLBACK_DATA.json",MOVE,generated-artifact-restricted,"sensitive content detected","SENSITIVE - production identifiers detected",""
"FP20C_ROLLBACK_PLAN.md","docs/programs/fp20/FP20C_ROLLBACK_PLAN.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20D_DASHBOARD_CLOCK_WIDGET.md","docs/programs/fp20/FP20D_DASHBOARD_CLOCK_WIDGET.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"FP20D_VERIFICATION_REPORT.md","docs/programs/fp20/FP20D_VERIFICATION_REPORT.md",MOVE,programs-fp20,"prefix","Not applicable - narrative document",""
"HEALTH_CHECK_FULL_INVENTORY.md","docs/operations/monitoring/HEALTH_CHECK_FULL_INVENTORY.md",MOVE,ops-monitoring,"subject","Not applicable - narrative document",""
"ISSUE_01_END_TIME_COLUMN_FIX.md","docs/archive/legacy-reports/ISSUE_01_END_TIME_COLUMN_FIX.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"KANBAN_WORKFLOW_REPORT.md","docs/features/tickets/KANBAN_WORKFLOW_REPORT.md",MOVE,feature-tickets,"subject","Not applicable - narrative document",""
"LEAVE_APPROVAL_UX_FIX_REPORT.md","docs/features/leave/LEAVE_APPROVAL_UX_FIX_REPORT.md",MOVE,feature-leave,"subject","Not applicable - narrative document",""
"LEAVE_BALANCE_ENGINE_REPORT.md","docs/features/leave/LEAVE_BALANCE_ENGINE_REPORT.md",MOVE,feature-leave,"subject","Not applicable - narrative document",""
"LIVE_AUTH_VERIFICATION_ISSUES.md","docs/features/authentication/LIVE_AUTH_VERIFICATION_ISSUES.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"LIVE_AUTH_VERIFICATION_NEXT_FIX_ORDER.md","docs/features/authentication/LIVE_AUTH_VERIFICATION_NEXT_FIX_ORDER.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"LIVE_AUTH_VERIFICATION_REPORT.md","docs/features/authentication/LIVE_AUTH_VERIFICATION_REPORT.md",MOVE,feature-auth,"subject","Not applicable - narrative document",""
"LIVE_STABILIZATION_AUDIT_MASTER.md","docs/operations/stabilization/LIVE_STABILIZATION_AUDIT_MASTER.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"LIVE_STABILIZATION_FEATURE_MATRIX.md","docs/operations/stabilization/LIVE_STABILIZATION_FEATURE_MATRIX.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"LIVE_STABILIZATION_NEXT_FIX_ORDER.md","docs/operations/stabilization/LIVE_STABILIZATION_NEXT_FIX_ORDER.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"LIVE_STABILIZATION_PRIORITY_BOARD.md","docs/operations/stabilization/LIVE_STABILIZATION_PRIORITY_BOARD.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"LIVE_STABILIZATION_RUNTIME_ERRORS.md","docs/operations/stabilization/LIVE_STABILIZATION_RUNTIME_ERRORS.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"MANAGER_TL_INTELLIGENCE_UX_REPORT.md","docs/features/teams/MANAGER_TL_INTELLIGENCE_UX_REPORT.md",MOVE,feature-teams,"subject","Not applicable - narrative document",""
"MASTER_FEATURE_RECONCILIATION_TRACKER.md","docs/audits/system/MASTER_FEATURE_RECONCILIATION_TRACKER.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"NOTIFICATION_RELIABILITY_REPORT.md","docs/features/notifications/NOTIFICATION_RELIABILITY_REPORT.md",MOVE,feature-notifications,"subject","Not applicable - narrative document",""
"NOTIFICATION_SYSTEM_REPORT.md","docs/features/notifications/NOTIFICATION_SYSTEM_REPORT.md",MOVE,feature-notifications,"subject","Not applicable - narrative document",""
"OPERATIONAL_CONVERGENCE_AUDIT.md","docs/audits/system/OPERATIONAL_CONVERGENCE_AUDIT.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"OPERATIONAL_CONVERGENCE_FIX_PLAN.md","docs/archive/legacy-reports/OPERATIONAL_CONVERGENCE_FIX_PLAN.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"OPERATIONAL_CONVERGENCE_PRIORITY_MATRIX.md","docs/audits/system/OPERATIONAL_CONVERGENCE_PRIORITY_MATRIX.md",MOVE,audits-system,"subject","Not applicable - narrative document",""
"P0_ARCHITECTURE_FREEZE.md","docs/programs/p0/P0_ARCHITECTURE_FREEZE.md",MOVE,programs-p0,"prefix","Not applicable - narrative document",""
"P0_BASELINE_RESULTS.md","docs/programs/p0/P0_BASELINE_RESULTS.md",MOVE,programs-p0,"prefix","Not applicable - narrative document",""
"P0_FIX_REPORT.md","docs/programs/p0/P0_FIX_REPORT.md",MOVE,programs-p0,"prefix","Not applicable - narrative document",""
"P0_HANDOFF.md","docs/programs/p0/P0_HANDOFF.md",MOVE,programs-p0,"prefix","Not applicable - narrative document",""
"P0_REMAINING_RISKS.md","docs/programs/p0/P0_REMAINING_RISKS.md",MOVE,programs-p0,"prefix","Not applicable - narrative document",""
"P0_TEST_MATRIX.md","docs/programs/p0/P0_TEST_MATRIX.md",MOVE,programs-p0,"prefix","Not applicable - narrative document",""
"P1A_COMPLETION_REPORT.md","docs/programs/p1/P1A_COMPLETION_REPORT.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1A_INTERRUPTED_CHANGES.patch","docs/archive/generated-artifacts/restricted/P1A_INTERRUPTED_CHANGES.patch",MOVE,generated-artifact-restricted,"sensitive content detected","SENSITIVE - production identifiers detected",""
"P1A_INTERRUPTED_STATUS.txt","docs/archive/generated-artifacts/P1A_INTERRUPTED_STATUS.txt",MOVE,generated-artifact,"no sensitive content detected","Reviewed - clean",""
"P1A_RECENT_COMMITS.txt","docs/archive/generated-artifacts/P1A_RECENT_COMMITS.txt",MOVE,generated-artifact,"no sensitive content detected","Reviewed - clean",""
"P1A_RECONCILIATION_REPORT.md","docs/programs/p1/P1A_RECONCILIATION_REPORT.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1A_REMAINING_RISKS.md","docs/programs/p1/P1A_REMAINING_RISKS.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1B_COMPLETION_REPORT.md","docs/programs/p1/P1B_COMPLETION_REPORT.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1B_REMAINING_RISKS.md","docs/programs/p1/P1B_REMAINING_RISKS.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1C_FINAL_VERIFICATION_REPORT.md","docs/programs/p1/P1C_FINAL_VERIFICATION_REPORT.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1C_HANDOFF.md","docs/programs/p1/P1C_HANDOFF.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1C_RECONCILIATION_REPORT.md","docs/programs/p1/P1C_RECONCILIATION_REPORT.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1C_REMAINING_RISKS.md","docs/programs/p1/P1C_REMAINING_RISKS.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1D_IMPLEMENTATION_REPORT.md","docs/programs/p1/P1D_IMPLEMENTATION_REPORT.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1D_REMAINING_GAPS.md","docs/programs/p1/P1D_REMAINING_GAPS.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"P1D_VERIFICATION_REPORT.md","docs/programs/p1/P1D_VERIFICATION_REPORT.md",MOVE,programs-p1,"prefix","Not applicable - narrative document",""
"PHASE_OMEGA_FIX_PLAN.md","docs/programs/phase-omega/PHASE_OMEGA_FIX_PLAN.md",MOVE,programs-phase-omega,"prefix","Not applicable - narrative document",""
"PHASE_OMEGA_IMPLEMENTATION_REPORT.md","docs/programs/phase-omega/PHASE_OMEGA_IMPLEMENTATION_REPORT.md",MOVE,programs-phase-omega,"prefix","Not applicable - narrative document",""
"PHASE_OMEGA_OPERATIONAL_UX_AUDIT.md","docs/programs/phase-omega/PHASE_OMEGA_OPERATIONAL_UX_AUDIT.md",MOVE,programs-phase-omega,"prefix","Not applicable - narrative document",""
"PHASE_OMEGA_REMAINING_GAPS.md","docs/programs/phase-omega/PHASE_OMEGA_REMAINING_GAPS.md",MOVE,programs-phase-omega,"prefix","Not applicable - narrative document",""
"PHASE_OMEGA_ROOT_CAUSE_MATRIX.md","docs/programs/phase-omega/PHASE_OMEGA_ROOT_CAUSE_MATRIX.md",MOVE,programs-phase-omega,"prefix","Not applicable - narrative document",""
"PHASE_OMEGA_VERIFICATION_REPORT.md","docs/programs/phase-omega/PHASE_OMEGA_VERIFICATION_REPORT.md",MOVE,programs-phase-omega,"prefix","Not applicable - narrative document",""
"PHASE_X_BASELINE_REPORT.md","docs/programs/phase-x/PHASE_X_BASELINE_REPORT.md",MOVE,programs-phase-x,"prefix","Not applicable - narrative document",""
"PHASE_X_IMPLEMENTATION_REPORT.md","docs/programs/phase-x/PHASE_X_IMPLEMENTATION_REPORT.md",MOVE,programs-phase-x,"prefix","Not applicable - narrative document",""
"PHASE_X_REMAINING_GAPS.md","docs/programs/phase-x/PHASE_X_REMAINING_GAPS.md",MOVE,programs-phase-x,"prefix","Not applicable - narrative document",""
"PHASE_X_VERIFICATION_REPORT.md","docs/programs/phase-x/PHASE_X_VERIFICATION_REPORT.md",MOVE,programs-phase-x,"prefix","Not applicable - narrative document",""
"PHASE_Y_BASELINE_REPORT.md","docs/programs/phase-y/PHASE_Y_BASELINE_REPORT.md",MOVE,programs-phase-y,"prefix","Not applicable - narrative document",""
"PROJECT_WORKFLOW_REPORT.md","docs/features/projects/PROJECT_WORKFLOW_REPORT.md",MOVE,feature-projects,"subject","Not applicable - narrative document",""
"QUERY_PERFORMANCE_REPORT.md","docs/archive/legacy-reports/QUERY_PERFORMANCE_REPORT.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"REMAINING_ISSUE_REGISTER.md","docs/operations/stabilization/REMAINING_ISSUE_REGISTER.md",MOVE,ops-stabilization,"subject","Not applicable - narrative document",""
"ROLE_BASED_UX_QA_REPORT.md","docs/security/permissions/ROLE_BASED_UX_QA_REPORT.md",MOVE,security-permissions,"subject","Not applicable - narrative document",""
"ROLLOUT_READINESS_UPDATE.md","docs/operations/deployment/ROLLOUT_READINESS_UPDATE.md",MOVE,ops-deployment,"subject","Not applicable - narrative document",""
"SECURITY_HARDENING_REPORT.md","docs/security/audits/SECURITY_HARDENING_REPORT.md",MOVE,security-audits,"subject","Not applicable - narrative document",""
"SETTINGS_PERSISTENCE_REPORT.md","docs/archive/legacy-reports/SETTINGS_PERSISTENCE_REPORT.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"STATE_SYNC_REPORT.md","docs/archive/legacy-reports/STATE_SYNC_REPORT.md",MOVE,fallback,"unclassified","Not applicable - narrative document",""
"TICKET_TRANSITION_PERMISSION_FIX.md","docs/features/tickets/TICKET_TRANSITION_PERMISSION_FIX.md",MOVE,feature-tickets,"subject","Not applicable - narrative document",""
"TICKET_WORKFLOW_COMPLETION_REPORT.md","docs/features/tickets/TICKET_WORKFLOW_COMPLETION_REPORT.md",MOVE,feature-tickets,"subject","Not applicable - narrative document",""
"TL_TICKET_VISIBILITY_AUDIT.md","docs/features/tickets/TL_TICKET_VISIBILITY_AUDIT.md",MOVE,feature-tickets,"subject","Not applicable - narrative document",""
"TL_TICKET_VISIBILITY_FIX_REPORT.md","docs/features/tickets/TL_TICKET_VISIBILITY_FIX_REPORT.md",MOVE,feature-tickets,"subject","Not applicable - narrative document",""
"TL_TICKET_VISIBILITY_VERIFICATION.md","docs/features/tickets/TL_TICKET_VISIBILITY_VERIFICATION.md",MOVE,feature-tickets,"subject","Not applicable - narrative document",""
"TVA_ANALYTICS_AUDIT.md","docs/programs/tva/TVA_ANALYTICS_AUDIT.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_AUTH_AUDIT.md","docs/programs/tva/TVA_AUTH_AUDIT.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_CLOCK_INVENTORY.md","docs/programs/tva/TVA_CLOCK_INVENTORY.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_DASHBOARD_AUDIT.md","docs/programs/tva/TVA_DASHBOARD_AUDIT.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_DATABASE_TIME_MODEL.md","docs/programs/tva/TVA_DATABASE_TIME_MODEL.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_EXECUTIVE_REPORT.md","docs/programs/tva/TVA_EXECUTIVE_REPORT.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_HISTORICAL_FORENSICS.md","docs/programs/tva/TVA_HISTORICAL_FORENSICS.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_SCHEDULER_AUDIT.md","docs/programs/tva/TVA_SCHEDULER_AUDIT.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_TEAM_STATUS_AUDIT.md","docs/programs/tva/TVA_TEAM_STATUS_AUDIT.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_TICKET_TIME_AUDIT.md","docs/programs/tva/TVA_TICKET_TIME_AUDIT.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_VIOLATIONS.md","docs/programs/tva/TVA_VIOLATIONS.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"TVA_WORKDAY_FLOW.md","docs/programs/tva/TVA_WORKDAY_FLOW.md",MOVE,programs-tva,"prefix","Not applicable - narrative document",""
"USER_PROFILE_COMPLETION_REPORT.md","docs/features/users/USER_PROFILE_COMPLETION_REPORT.md",MOVE,feature-users,"subject","Not applicable - narrative document",""
"UX_STABILITY_REPORT.md","docs/qa/accessibility/UX_STABILITY_REPORT.md",MOVE,qa-accessibility,"subject","Not applicable - narrative document",""
"WORKDAY_FIX_PLAN.md","docs/features/attendance/WORKDAY_FIX_PLAN.md",MOVE,feature-attendance,"subject","Not applicable - narrative document",""
"WORKDAY_UX_FIX_REPORT.md","docs/features/attendance/WORKDAY_UX_FIX_REPORT.md",MOVE,feature-attendance,"subject","Not applicable - narrative document",""
"project Features.txt","docs/product/legacy/legacy-feature-list.md",RENAME+MOVE,product,"approved rename","Not applicable - narrative document",""
"docs/E2E_BROWSER_WORKFLOW_REPORT.md","docs/qa/e2e/E2E_BROWSER_WORKFLOW_REPORT.md",MOVE,qa-e2e,"subject: E2E","Not applicable - narrative document",""
"docs/E2E_BROWSER_WORKFLOW_TEST_PLAN.md","docs/qa/e2e/E2E_BROWSER_WORKFLOW_TEST_PLAN.md",MOVE,qa-e2e,"subject: E2E","Not applicable - narrative document",""
"docs/FEATURE_STATUS_BOARD.md","docs/product/feature-status/FEATURE_STATUS_BOARD.md",MOVE,product-feature-status,"subject: FEATURE_STATUS","Not applicable - narrative document",""
"docs/PRODUCTION_SMOKE_VALIDATION.md","docs/qa/smoke/PRODUCTION_SMOKE_VALIDATION.md",MOVE,qa-smoke,"subject: SMOKE (per spec example)","Not applicable - narrative document",""
"docs/QC-STABILIZATION-CHECKLIST.md","docs/operations/stabilization/QC-STABILIZATION-CHECKLIST.md",MOVE,ops-stabilization,"subject: STABILIZATION","Not applicable - narrative document",""
"docs/ROLE_VISIBILITY_AUDIT.md","docs/security/permissions/ROLE_VISIBILITY_AUDIT.md",MOVE,security-permissions,"subject: ROLE_VISIBILITY","Not applicable - narrative document",""
"docs/SYSTEM_FEATURE_AUDIT.md","docs/audits/system/SYSTEM_FEATURE_AUDIT.md",MOVE,audits-system,"subject: AUDIT","Not applicable - narrative document",""
"docs/CALENDAR_REAL_WORLD_AUDIT.md","docs/audits/system/CALENDAR_REAL_WORLD_AUDIT.md",MOVE,audits-system,"subject: AUDIT","Not applicable - narrative document",""
"docs/RULES-INTEGRATIONS-AUDIT.md","docs/audits/system/RULES-INTEGRATIONS-AUDIT.md",MOVE,audits-system,"subject: AUDIT","Not applicable - narrative document",""
"docs/DASHBOARD-DATA-AUDIT.md","docs/features/dashboard/DASHBOARD-DATA-AUDIT.md",MOVE,feature-dashboard,"subject: DASHBOARD","Not applicable - narrative document",""
"backend/BACKUP_DATABASE_SETUP.md","docs/operations/backup-recovery/BACKUP_DATABASE_SETUP.md",MOVE,ops-backup,"backend doc relocation","Not applicable - narrative document",""
"backend/BACKUP_REPORT.md","docs/operations/backup-recovery/BACKUP_REPORT.md",MOVE,ops-backup,"backend doc relocation","Not applicable - narrative document",""
"backend/BACKUP_VERIFICATION_REPORT.md","docs/operations/backup-recovery/BACKUP_VERIFICATION_REPORT.md",MOVE,ops-backup,"backend doc relocation","Not applicable - narrative document",""
"backend/DISASTER_RECOVERY_SOP.md","docs/operations/backup-recovery/DISASTER_RECOVERY_SOP.md",MOVE,ops-backup,"backend doc relocation","Not applicable - narrative document",""
"backend/RESTORE_RELATION_HEALTH_REPORT.md","docs/operations/backup-recovery/RESTORE_RELATION_HEALTH_REPORT.md",MOVE,ops-backup,"backend doc relocation","Not applicable - narrative document",""
"backend/DESTRUCTIVE_OPERATION_POLICY.md","docs/governance/DESTRUCTIVE_OPERATION_POLICY.md",MOVE,governance,"backend doc relocation","Not applicable - narrative document",""
"backend/DEVELOPMENT_SAFETY_RULES.md","docs/governance/DEVELOPMENT_SAFETY_RULES.md",MOVE,governance,"backend doc relocation","Not applicable - narrative document",""
"backend/TICKET_DELETION_FORENSICS_REPORT.md","docs/features/tickets/audits/TICKET_DELETION_FORENSICS_REPORT.md",MOVE,feature-tickets-audits,"backend doc relocation","Not applicable - narrative document",""
"backend/TICKET_DUPLICATE_RESOLUTION_AUDIT.md","docs/features/tickets/audits/TICKET_DUPLICATE_RESOLUTION_AUDIT.md",MOVE,feature-tickets-audits,"backend doc relocation","Not applicable - narrative document",""
"backend/TICKET_SEQUENCE_AUDIT.md","docs/features/tickets/audits/TICKET_SEQUENCE_AUDIT.md",MOVE,feature-tickets-audits,"backend doc relocation","Not applicable - narrative document",""
